Accession,C_OEI06441,C_OEI06445,C_OEI06449,C_OEI06455,C_OEI06461,C_OEI06465,C_OEI06469,C_OEI06473,C_OEI06477,C_OEI06483,C_OEI06487,C_OEI06491,C_OEI06495,C_OEI06499,C_OEI06506,C_OEI06510,C_OEI06520,C_OEI06526,C_OEI06530,HCC_OEI06439,HCC_OEI06443,HCC_OEI06447,HCC_OEI06453,HCC_OEI06459,HCC_OEI06463,HCC_OEI06467,HCC_OEI06471,HCC_OEI06475,HCC_OEI06481,HCC_OEI06485,HCC_OEI06489,HCC_OEI06493,HCC_OEI06497,HCC_OEI06504,HCC_OEI06508,HCC_OEI06518,HCC_OEI06522,HCC_OEI06528
Q9UJ68,117810.5605,77833.54179,32598.62732,16818.61186,73809.06284,97978.63164,55842.79666,81726.34109,80584.73109,101715.5623,47140.92174,77617.69957,63512.90925,72677.16185,37371.97027,67624.38424,71820.21442,35475.56694,48340.96481,10175.51679,43708.95736,25330.13762,37673.23586,8036.619156,17136.74183,14042.96136,29390.52854,14447.07886,12196.36577,8236.107729,12787.38026,5361.926515,37661.79426,10488.33878,4250.9181,6314.326772,11927.32169,16483.64523
Q07955,109824.5411,116484.2174,35500.8331,30127.41758,32810.13336,98375.42246,99965.98422,99282.0737,56106.09972,223941.8465,87026.49809,112741.9617,80912.206,137961.2208,48729.59456,76592.5427,77504.57617,56485.46031,90357.92625,305888.3971,286183.616,821989.8428,581819.1334,125362.9434,109434.8456,284070.9015,196011.9878,181745.5463,277430.3849,428905.4834,188598.4351,155213.5438,185761.1964,124933.9578,67315.51786,164617.2618,155795.3705,178192.2313
Q14657,7514.242919,4821.201337,1241.200395,1149.901192,3078.608139,4103.008627,3582.924963,6642.039861,4275.014959,15723.64838,3695.410269,4326.064406,4942.65603,7120.834096,2334.018398,7247.829447,5193.637913,2852.512979,5076.015289,14390.12362,19306.61481,15803.22697,21804.77794,12426.54825,8360.298807,6693.617579,9169.783773,9801.542874,5537.176205,14772.68774,6491.225668,9310.665129,13270.09253,5878.758812,2676.534481,5528.013794,10256.7283,6738.861971
P84103,93538.5466,91822.26667,36728.47529,30512.23573,26892.13002,60663.45543,60703.35451,67969.29156,38432.86587,167858.4489,67188.78986,59744.78962,51027.30421,72158.20124,30016.86289,56728.22341,72763.82126,50993.49148,72873.17173,300332.126,202384.8969,758667.8221,406903.7795,119731.1033,100874.2637,186505.5843,126783.8451,112852.4837,373457.1183,279792.4974,123184.1952,113099.3391,133535.2585,97554.76019,55527.19148,116725.0956,119773.9376,112601.9266
P16219,1556031.504,1625864.705,656879.6455,150838.6529,1245612.255,1402355.142,908176.5822,1942602.698,1119227.18,3089508.595,921497.2471,1498700.896,1137201.561,1114223.274,276538.8671,677574.3523,1498961.765,822009.4395,1163414.838,365439.7209,732789.2841,588652.1117,815672.8838,587805.6145,453084.8531,438740.399,210201.6056,234265.7042,125333.0704,365289.2993,189380.5473,441607.5857,398924.8578,106856.4652,189550.1821,336790.6877,437746.0309,181086.6032
P30039,1212942.272,1602214.809,965062.103,233098.3631,992804.8068,1416392.271,1029979.721,1798333.233,1154377.098,3232203.689,1213245.377,1453999.819,1255195.963,1053878.56,701349.9569,2164653.233,1076143.503,513140.1428,892666.5383,141437.4561,960974.5292,594612.2877,856989.2918,388466.7367,386249.875,330981.499,589998.3525,385835.169,167953.7852,291410.765,146004.6714,870522.6997,578636.9769,92580.73229,196721.0255,152095.6748,381135.968,127327.369
P53396,63180.32794,89486.16231,30093.46326,38868.49389,28504.93657,36621.78705,45154.79572,59549.82191,38978.16496,224700.0534,76343.49949,107546.2575,70969.61069,169453.5497,39222.06469,104136.0498,87760.19588,41937.10678,92266.21873,231118.1435,180696.7463,734069.8245,372774.404,340075.014,79982.48928,157231.6329,133059.6736,121122.4169,200752.5993,246622.1982,200857.0388,218052.3179,232005.5482,122300.2569,107700.6564,174874.3424,222897.6,247161.4638
Q15029,24291.32094,58254.9124,17959.82333,12444.05505,14005.634,20863.45644,29776.41386,26880.04283,14026.88649,106096.3889,45845.64272,40939.08052,49121.88757,74875.8573,23514.52389,37673.82174,38160.20799,24083.78547,40033.3469,146785.0061,86091.21686,571555.1987,246975.1588,69645.98148,48866.11337,154038.0704,66183.13999,81493.85236,142877.8393,252836.4421,79380.49426,99010.31741,94149.21531,53897.21383,46488.02388,66971.44528,77041.3371,93371.62944
Q9NX24,5477.452537,7682.36363,1728.284484,1178.436828,3653.132729,1158.384778,3133.82755,5429.950705,2764.700953,4091.892667,4240.877046,4369.28809,4466.34649,4253.730415,1764.025832,6735.520266,3212.142634,2810.253101,3855.044176,22405.52644,31340.73071,11249.03588,36178.86946,43521.81847,6922.614965,10200.2619,13543.49269,9829.670512,7869.088394,6930.173247,12468.82605,12471.37459,8888.092108,7478.381171,5999.485947,7274.278113,6220.535108,8858.017727
O00757,296685.0954,419059.4699,297211.5695,202600.1283,388666.3678,203788.5286,237834.3195,293164.9607,395090.2011,377334.4341,177845.9364,315847.9102,126944.7662,197180.453,157889.2318,488655.3669,243151.1455,193731.0492,268781.4934,80666.76755,44003.19321,166488.3145,107866.9977,91796.74974,72671.40398,19904.35539,72883.05949,79526.49616,22317.65335,45709.0043,143564.0881,18689.44438,192684.0176,26762.18017,13153.66668,53666.32439,66326.61106,42740.55796
Q15020,3915.918689,10800.23096,3766.90357,2087.038634,2223.349954,2701.969004,3426.631801,8314.106316,2230.784449,16522.7005,5925.62508,6856.758448,6280.076955,17504.94775,2820.387201,5673.846708,9575.967668,4067.552964,6902.417746,48593.64041,17219.0993,185769.3809,63412.33842,16769.83412,10677.07359,27050.99223,15322.22444,11923.61822,43474.82572,55379.2077,16355.03816,12234.8975,21473.78743,12479.00341,12487.68617,14978.07087,21571.34106,28694.68189
P13010,312382.3817,442698.4059,162404.7311,99617.36631,187615.1257,248038.4616,348212.0148,406885.7483,200788.8563,1059245.674,429392.8232,420460.513,448475.3313,795417.4578,203408.2968,445382.3516,453597.7705,211364.8821,369491.0169,1035634.331,765825.9276,3166176.975,1756709.781,590271.3119,380978.4739,1079057.794,416512.1504,571213.5371,1222336.457,1597739.918,809996.2314,866737.7445,802831.4423,482062.0807,342313.4367,563834.3378,742295.7811,502540.2202
Q16543,88714.55483,83400.1852,38838.15382,31583.89968,44449.14447,55159.92509,58338.27816,72005.45155,46195.26606,164456.9206,70177.62955,69258.40505,74447.59931,103580.2877,34941.37473,74199.24036,52735.22327,40022.35106,55650.59126,217910.0482,144699.4526,416164.5064,277519.8034,107326.9471,85071.03767,128006.1783,113670.2005,84259.91546,93846.62043,215123.3919,102082.9406,122825.8806,120837.825,80679.86986,33392.83455,87527.36696,82673.6775,110989.1414
P09467,4448847.059,5244925.286,2279857.929,2307052.436,3523074.421,2968667.538,3059679.923,4841595.372,7024184.119,6467394.193,2307203.907,5304801.236,3283031.588,3486651.822,2191127.891,7382556.006,3533960.328,2732630.939,3395863.51,738519.8882,695871.5165,2747792.014,1896429.771,1881112.341,803692.0244,174924.9358,1196677.905,1153312.587,528371.1443,656783.603,2083702.641,286827.0345,3101548.116,258179.4828,111689.4891,649804.7128,835706.9341,153173.8674
