,Accession,C_OEI06441,C_OEI06445,C_OEI06449,C_OEI06455,C_OEI06461,C_OEI06465,C_OEI06469,C_OEI06473,C_OEI06477,C_OEI06483,C_OEI06487,C_OEI06491,C_OEI06495,C_OEI06499,C_OEI06506,C_OEI06510,C_OEI06520,C_OEI06526,C_OEI06530,HCC_OEI06439,HCC_OEI06443,HCC_OEI06447,HCC_OEI06453,HCC_OEI06459,HCC_OEI06463,HCC_OEI06467,HCC_OEI06471,HCC_OEI06475,HCC_OEI06481,HCC_OEI06485,HCC_OEI06489,HCC_OEI06493,HCC_OEI06497,HCC_OEI06504,HCC_OEI06508,HCC_OEI06518,HCC_OEI06522,HCC_OEI06528
0,Q9UJ68,16.619391223255647,15.92580917050519,15.910610299239147,15.55014142498519,16.972037615918353,16.817585395418135,15.965339318685528,16.166599969959698,16.89274137710015,15.603151085418885,15.77576971781224,16.368546360814953,15.812088651364714,15.706539422315727,16.199678281571224,16.032931918647,16.199637386913327,16.066115883929125,15.69913618961363,12.427169202204466,14.502438713831642,12.638914549628721,13.747277173268033,12.926956283983248,14.089948411030772,13.325509615693838,14.817403353216019,13.83081420806182,13.432597678007602,12.471118244849462,13.91418556915998,12.091371334203936,14.910509110589372,13.683020838209774,13.143387239059951,12.809612510905982,13.813786772526091,13.752683562464808
1,Q07955,16.518122826746737,16.50747975287706,16.033651964077293,16.391159803983808,15.802381101492834,16.82341617828765,16.80540539123048,16.44733207312668,16.370392494899633,16.741734799620183,16.660244494107516,16.907113356052324,16.161396152842414,16.631228236072275,16.582519875271515,16.21259229972795,16.309528921921153,16.737169700665916,16.601541082979175,17.33700061363425,17.21337892464628,17.659108296064623,17.696236053353992,16.89033471590882,16.764855852496154,17.66384156751593,17.554922034508472,17.483884498881736,17.94020025428638,18.173671494375643,17.79671063856005,16.94673052794677,17.212784640961345,17.25732840513023,17.128479989662942,17.513955402343512,17.52109711278019,17.187010779379964
2,Q14657,12.64869392170714,11.912881746656357,11.195607049474663,11.679664593273891,12.388589794222202,12.23987234495652,12.003177858493379,12.545497109892693,12.656236242563457,12.909618571650682,12.102596198285784,12.203287734857923,12.12839721105396,12.355155486703692,12.198609494511615,12.811009278217302,12.410064768391958,12.429595499485034,12.447658241995299,12.927146120612361,13.323604976254275,11.958278816660211,12.958381515611707,13.555721274044924,13.054481983829044,12.256520448632559,13.137011669546093,13.271117161635907,12.293368692765108,13.31401597271286,12.936027655979787,12.887504120567252,13.405585807411237,12.847818141552995,12.4759790139777,12.617744803251487,13.596087266137793,12.462225125044558
3,P84103,16.286555273058436,16.164261208523452,16.082698089940756,16.409470683387042,15.515423673593787,16.12594592934809,16.085744366823384,15.90068190960629,15.824575428807819,16.325855814288595,16.28701029619163,15.990973585844683,15.496308221863872,15.696200716538025,15.883494862691165,15.779455049255162,16.218468736178966,16.589603264970417,16.291277706169982,17.310554035435764,16.713539476474008,17.543456078207775,17.180352993275818,16.82402173642398,16.647341809785637,17.056809337262607,16.926351072219084,16.796402658002634,18.369017047294825,17.557369011293442,17.182210100290387,16.490066575516366,16.736556191692237,16.900446917756653,16.850735297718,17.017954547526756,17.141758765562187,16.524807850654742
4,P16219,20.3427217204349,20.310480562015755,20.2433562401001,18.715017054885354,21.048950877029377,20.656826195540333,19.98886905529443,20.7376458840518,20.6885939623172,20.527916141467983,20.064697700942098,20.63972936077625,19.97438297044772,19.64493188735124,19.087132014305674,19.357695727606007,20.58306720048525,20.600373199545984,20.288111721351687,17.59362868370539,18.569836250873042,17.177402994832022,18.18365600439938,19.11956289665146,18.81456492823522,18.29095806447169,17.655753833595817,17.850110251158036,16.793841584832983,17.94205122629999,17.80268108165488,18.45524103077991,18.315452495317615,17.031836940577605,18.62204880766722,18.54669202562973,19.011538846417665,17.210256158308656
5,P30039,19.98336133985356,20.28934093518695,20.798348962814366,19.3429497569446,20.72167783902684,20.671195318302857,20.17044024641781,20.626315392115735,20.73320564219223,20.59305687204786,20.461517302712302,20.596043965030276,20.116807603363,19.564602163429406,20.429784245400008,21.03338048669314,20.104974089617492,19.92057112998105,19.905939364542004,16.224159461433803,18.960936037066393,17.19193700614121,18.254942490196264,18.52201482756665,18.584318132868738,17.884341085756176,19.14469107032526,18.569949139245743,17.216138760420776,17.616065906914173,17.427407461973047,19.434357994603673,18.851993991304923,16.82494662084435,18.67562012595372,17.399818904554756,18.811750511260257,16.702118898424505
6,P53396,15.720469686163193,16.127081771039705,15.795249229827627,16.758683994640613,15.599451434797599,15.397820444893798,15.65884734282329,15.709896017405018,15.844901041246555,16.746611126937097,16.471295069524828,16.839046101797592,15.97224018853513,16.92785529449685,16.269387138689673,16.65578604815409,16.488814172550804,16.3075174776068,16.63169245540858,16.932625750073985,16.550008373123628,17.49590502751667,17.05396811530418,18.330076769724535,16.312539754429757,16.810482007078377,16.9960535442549,16.898430386285007,17.473493117802413,17.375314394976048,17.887561953123367,17.437150402978503,17.53349477839368,17.226590176054096,17.806496007827057,17.601158409621384,18.03782583158793,17.659030161616112
7,Q15029,14.34143520524781,15.507796874025654,15.050572241679532,15.115539470867114,14.574246935733866,14.586096440529918,15.058138136350719,14.562334260713644,14.370429682592153,15.66398621303747,15.735574373263434,15.445639385799359,15.44140479533804,15.749537957309455,15.531273777746996,15.188950758050455,15.287316461413704,15.507352315112701,15.427092156404028,16.27769983599224,15.480375809030935,17.134880564556383,16.460031252698656,16.04233577544877,15.601689934373718,16.780877465395726,15.988515789946193,16.32672762393039,16.98285661852374,17.41121615256442,16.54824938366469,16.29812685135977,16.232356447707822,16.044445342848366,16.59439997113978,16.21645778499009,16.50514939617746,16.25463250382738
8,Q9NX24,12.192571243892727,12.585039320330013,11.67321170001378,11.715029116462361,12.635445720745865,10.415304706926564,11.809965821483193,12.254809829749634,12.027430212483402,10.967522772540253,12.301224311320125,12.217630824046035,11.982205878139286,11.611837849876034,11.794665248869913,12.705249658195761,11.71685528845063,12.408062119004716,12.05070921987035,13.565921759279728,14.022548566237926,11.467860992137595,13.688884543957224,15.364034500527625,12.782244584832553,12.864268609499462,13.699651888627924,13.275251356586118,12.800414774775346,12.222046962843367,13.877790479069587,13.309168468927428,12.827353049691276,13.195032558765439,13.640451667199667,13.013787672097596,12.874627249424172,12.85670403338351
9,O00757,17.95185480739825,18.354500252743843,19.099217454639934,19.140645971313024,19.36870001187519,17.87411919055007,18.055853129732142,18.00943960049006,19.186345029598236,17.49445442056011,17.69134585566875,18.39331880717145,16.81116780649309,17.146481976667133,18.278562532431533,18.886133797974807,17.959028909828262,18.515273431080793,18.174251823821514,15.414041580772423,14.51211797015321,15.355408650017543,15.264918846964799,16.44073873546799,16.17424335068982,13.828746564428336,16.127635571472666,16.291472001810213,14.304331694428269,14.94356203147052,17.403087844018078,13.892771661439602,17.265572382476698,15.03443029614424,14.77300588756834,15.896928763683725,16.28910446756612,15.127253985766256
